network_size,ring_size,128_security,total_time,model_enc_time,data_enc_time,fwd_time,bwd_time,bs_time

64-32-32-32,32,False,102.716,0.615,0.264,5.793,14.476,81.568
128-64-64-64,32,False,106.533,0.638,0.245,3.734,15.071,86.845

64-32-32-32,64,True,261.052,0.755,0.781,8.734,26.352,224.430
128-64-64-64,64,True,256.327,0.760,0.771,7.783,26.944,220.069
256-128-128-128,64,True,247.666,0.787,0.499,9.348,26.905,210.127
512-64-64-64,64,True,244.965,0.815,0.740,8.597,27.626,207.187

256-256-256-256,128,True,627.190,2.175,1.176,18.386,53.651,551.802
512-128-128-128,128,True,621.537,1.187,1.041,18.007,50.124,551.178
